transaction_date,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
05/01/2021,"320000,00",91080.0,EVRY-COURCOURONNES,91,228,1.0,Maison,134.0,7.0,224.0
06/01/2021,"450000,00",91450.0,SOISY-SUR-SEINE,91,600,1.0,Maison,100.0,3.0,1000.0
06/01/2021,"450000,00",91450.0,SOISY-SUR-SEINE,91,600,1.0,Maison,100.0,3.0,461.0
06/01/2021,"339000,00",91130.0,RIS-ORANGIS,91,521,1.0,Maison,88.0,4.0,434.0
06/01/2021,"223300,00",91100.0,CORBEIL ESSONNES,91,174,1.0,Maison,80.0,4.0,147.0
06/01/2021,"370000,00",91560.0,CROSNE,91,191,1.0,Maison,110.0,5.0,338.0
08/01/2021,"865000,00",91560.0,CROSNE,91,191,4.0,Local industriel. commercial ou assimilé,578.0,0.0,978.0
04/01/2021,"335000,00",91540.0,MENNECY,91,386,1.0,Maison,98.0,6.0,660.0
06/01/2021,"388500,00",91480.0,QUINCY-SOUS-SENART,91,514,1.0,Maison,123.0,5.0,521.0
11/01/2021,"270000,00",91100.0,CORBEIL ESSONNES,91,174,1.0,Maison,51.0,3.0,200.0
11/01/2021,"270000,00",91100.0,CORBEIL ESSONNES,91,174,1.0,Maison,51.0,3.0,258.0
08/01/2021,"270000,00",91000.0,EVRY-COURCOURONNES,91,228,1.0,Maison,104.0,5.0,210.0
11/01/2021,"230700,00",91100.0,CORBEIL ESSONNES,91,174,1.0,Maison,77.0,4.0,108.0
07/01/2021,"388875,00",91090.0,LISSES,91,340,1.0,Maison,159.0,5.0,632.0
12/01/2021,"260000,00",91100.0,CORBEIL ESSONNES,91,174,1.0,Maison,96.0,6.0,362.0
13/01/2021,"308000,00",91610.0,BALLANCOURT-SUR-ESSONNE,91,45,1.0,Maison,86.0,5.0,778.0
08/01/2021,"340000,00",91230.0,MONTGERON,91,421,1.0,Maison,96.0,5.0,200.0
11/01/2021,"255000,00",91270.0,VIGNEUX SUR SEINE,91,657,1.0,Maison,81.0,5.0,276.0
14/01/2021,"265000,00",91130.0,RIS-ORANGIS,91,521,3.0,Dépendance,0.0,0.0,17.0
14/01/2021,"265000,00",91130.0,RIS-ORANGIS,91,521,1.0,Maison,90.0,5.0,115.0
14/01/2021,"285000,00",91250.0,SAINTRY-SUR-SEINE,91,577,1.0,Maison,94.0,5.0,411.0
15/01/2021,"271000,00",91000.0,EVRY-COURCOURONNES,91,228,1.0,Maison,76.0,4.0,289.0
15/01/2021,"355870,00",91540.0,MENNECY,91,386,1.0,Maison,122.0,7.0,736.0
