transaction_date,transaction_type,property_value,street_number,street_type,street_name,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
06/01/2021,Vente,670000,136,RUE,LEDRU ROLLIN,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,64,4,328
07/01/2021,Vente,830000,4,IMP,ELIAS HOWE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,120,5,291
08/01/2021,Vente,771000,52,AV,DU MESNIL,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,216,9,260
04/01/2021,Vente,650000,91,AV,DE PARIS,94380,BONNEUIL-SUR-MARNE,94,11,1,Maison,183,5,598
11/01/2021,Vente,2015800,38,AV,MARIE LOUISE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,274,4,300
11/01/2021,Vente,2015800,38,AV,MARIE LOUISE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,274,4,500
11/01/2021,Vente,524000,93,AV,BEAUREPAIRE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,91,4,246
08/01/2021,Vente,260000,62,AV,MAHIEU,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,82,4,228
07/01/2021,Vente,335000,1,RUE,DE LA BELLE IMAGE,94700,MAISONS-ALFORT,94,46,1,Maison,40,2,68
12/01/2021,Vente,620000,14,RUE,DU MARCHE,94140,ALFORTVILLE,94,2,1,Maison,60,5,297
15/01/2021,Vente,315000,23,RUE,EMILE ZOLA,94140,ALFORTVILLE,94,2,1,Maison,51,2,160
11/01/2021,Vente,625000,22,RUE,EDOUARD VAILLANT,94140,ALFORTVILLE,94,2,2,Appartement,29,2,252
11/01/2021,Vente,625000,22,RUE,EDOUARD VAILLANT,94140,ALFORTVILLE,94,2,2,Appartement,40,3,252
15/01/2021,Vente,460000,30,RUE,ROUGET DE LISLE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,78,5,137
08/01/2021,Vente,679000,62,RUE,DE PERPIGNAN,94700,MAISONS-ALFORT,94,46,1,Maison,108,5,179
19/01/2021,Vente,1280000,58,AV,DU MESNIL,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,155,7,730
04/01/2021,Vente,437024,9,IMP,CHARLES FLOQUET,94340,JOINVILLE-LE-PONT,94,42,1,Maison,58,3,226
15/01/2021,Vente,1317000,122,BD,DE LA MARNE,94210,SAINT-MAUR-DES-FOSSES,94,68,4,Local industriel. commercial ou assimilé,14,0,885
15/01/2021,Vente,1317000,122,BD,DE LA MARNE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,220,6,885
15/01/2021,Vente,950000,28,AV,JOSEPH JOUGLA,94340,JOINVILLE-LE-PONT,94,42,1,Maison,106,5,352
05/01/2021,Vente,380000,55,RUE,DE L ESPERANCE,94380,BONNEUIL-SUR-MARNE,94,11,1,Maison,111,4,224
22/01/2021,Vente,730000,6,RUE,DU VALLON,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,80,3,215
15/01/2021,Vente,646000,11,RUE,DE BELFORT,94700,MAISONS-ALFORT,94,46,1,Maison,59,3,363
07/01/2021,Vente,880000,4,AV,GEORGES CLEMENCEAU,94700,MAISONS-ALFORT,94,46,1,Maison,114,4,414
08/01/2021,Vente,715000,71,QUAI,BLANQUI,94140,ALFORTVILLE,94,2,2,Appartement,15,1,121
08/01/2021,Vente,715000,71,QUAI,BLANQUI,94140,ALFORTVILLE,94,2,2,Appartement,21,1,121
08/01/2021,Vente,715000,71,QUAI,BLANQUI,94140,ALFORTVILLE,94,2,2,Appartement,21,2,121
08/01/2021,Vente,715000,71,QUAI,BLANQUI,94140,ALFORTVILLE,94,2,2,Appartement,13,1,121
08/01/2021,Vente,715000,71,QUAI,BLANQUI,94140,ALFORTVILLE,94,2,4,Local industriel. commercial ou assimilé,55,0,121
25/01/2021,Vente,522000,4,VLA,DES PAVILLONS,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,67,5,105
25/01/2021,Vente,907000,23,AV,DE CHANZY,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,118,4,213
22/01/2021,Vente,550000,48,RUE,PASTEUR,94380,BONNEUIL-SUR-MARNE,94,11,1,Maison,180,5,148
22/01/2021,Vente,550000,48,RUE,PASTEUR,94380,BONNEUIL-SUR-MARNE,94,11,1,Maison,180,5,1078
14/01/2021,Vente,678000,43,RUE,SAINT HILAIRE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,76,3,145
19/01/2021,Vente,499000,37,AV,ANDREE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,46,3,187
11/01/2021,Vente,985000,7,RUE,DU TEMPLE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,103,4,404
15/01/2021,Vente,525000,43,AV,MARCEAU,94340,JOINVILLE-LE-PONT,94,42,1,Maison,89,4,256
15/01/2021,Vente,571430,69,AV,GABRIEL PERI,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,74,3,614
21/01/2021,Vente,1248000,11,AV,DE LATTRE DE TASSIGNY,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,105,6,200
21/01/2021,Vente,1248000,11,AV,DE LATTRE DE TASSIGNY,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,105,6,665
27/01/2021,Vente,1090000,40,RUE,PARMENTIER,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,150,6,124
27/01/2021,Vente,1090000,40,RUE,PARMENTIER,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,150,6,590
22/01/2021,Vente,1260000,34,AV,DES SAPINS,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,150,5,644
22/01/2021,Vente,760000,31,RUE,GRANDE CEINTURE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,122,6,403
08/01/2021,Vente,937000,18,RUE,WASHINGTON,94210,SAINT-MAUR-DES-FOSSES,94,68,4,Local industriel. commercial ou assimilé,60,0,483
08/01/2021,Vente,937000,18,RUE,WASHINGTON,94210,SAINT-MAUR-DES-FOSSES,94,68,4,Local industriel. commercial ou assimilé,60,0,400
27/01/2021,Vente en l'état futur d'achèvement,900000,31,AV,ARAGO,94340,JOINVILLE-LE-PONT,94,42,1,Maison,69,4,160
26/01/2021,Vente,400000,17,AV,RASPAIL,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,63,3,224
21/01/2021,Vente,320000,63,AV,DE PARIS,94380,BONNEUIL-SUR-MARNE,94,11,4,Local industriel. commercial ou assimilé,100,0,318
19/01/2021,Vente,3500000,32,RUE,SAINT SIMON,94000,CRETEIL,94,28,4,Local industriel. commercial ou assimilé,495,0,2939
19/01/2021,Vente,3500000,32,RUE,SAINT SIMON,94000,CRETEIL,94,28,1,Maison,116,5,2939
28/01/2021,Vente,430000,25,RUE,D AIX,94700,MAISONS-ALFORT,94,46,1,Maison,91,5,255
15/01/2021,Vente,1135000,24,AV,DE TUNIS,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,166,5,703
