transaction_date,transaction_type,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
03/01/2022,Vente,369900,77170,BRIE COMTE ROBERT,77,53,1,Maison,77,4,720
06/01/2022,Vente,727530,77300,FONTAINEBLEAU,77,186,1,Maison,150,8,181
07/01/2022,Vente,355000,77190,DAMMARIE LES LYS,77,152,1,Maison,136,4,662
07/01/2022,Vente,355000,77190,DAMMARIE LES LYS,77,152,1,Maison,136,4,500
06/01/2022,Vente,360000,77310,SAINT-FARGEAU-PONTHIERRY,77,407,3,Dépendance,0,0,59
06/01/2022,Vente,360000,77310,SAINT-FARGEAU-PONTHIERRY,77,407,1,Maison,63,4,59
06/01/2022,Vente,360000,77310,SAINT-FARGEAU-PONTHIERRY,77,407,3,Dépendance,0,0,1146
06/01/2022,Vente,360000,77310,SAINT-FARGEAU-PONTHIERRY,77,407,1,Maison,63,4,1146
07/01/2022,Vente,364500,77240,VERT-SAINT-DENIS,77,495,1,Maison,96,5,225
03/01/2022,Vente,390000,77380,COMBS LA VILLE,77,122,1,Maison,74,6,618
03/01/2022,Vente,390000,77380,COMBS LA VILLE,77,122,3,Dépendance,0,0,618
07/01/2022,Vente,457800,77115,BLANDY,77,34,1,Maison,111,5,496
05/01/2022,Vente,275000,77380,COMBS LA VILLE,77,122,1,Maison,76,4,170
10/01/2022,Vente,265000,77350,LE MEE SUR SEINE,77,285,1,Maison,106,5,161
07/01/2022,Vente,620000,77330,OZOIR LA FERRIERE,77,350,3,Dépendance,0,0,557
07/01/2022,Vente,620000,77330,OZOIR LA FERRIERE,77,350,1,Maison,180,7,557
07/01/2022,Vente,481600,77310,SAINT-FARGEAU-PONTHIERRY,77,407,1,Maison,93,2,34
03/01/2022,Vente,58000,77820,CHATILLON-LA-BORDE,77,103,2,Appartement,40,1,658
03/01/2022,Vente,58000,77820,CHATILLON-LA-BORDE,77,103,3,Dépendance,0,0,658
03/01/2022,Vente,58000,77820,CHATILLON-LA-BORDE,77,103,3,Dépendance,0,0,70
03/01/2022,Vente,58000,77820,CHATILLON-LA-BORDE,77,103,2,Appartement,40,1,70
06/01/2022,Vente,300000,77950,VOISENON,77,528,3,Dépendance,0,0,114
06/01/2022,Vente,300000,77950,VOISENON,77,528,1,Maison,240,8,500
06/01/2022,Vente,300000,77950,VOISENON,77,528,3,Dépendance,0,0,500
06/01/2022,Vente,300000,77950,VOISENON,77,528,1,Maison,240,8,114
04/01/2022,Vente,458000,77220,TOURNAN-EN-BRIE,77,470,1,Maison,203,7,793
04/01/2022,Vente,458000,77220,TOURNAN-EN-BRIE,77,470,1,Maison,79,3,793
04/01/2022,Vente,458000,77220,TOURNAN-EN-BRIE,77,470,3,Dépendance,0,0,793
10/01/2022,Vente,139500,77176,SAVIGNY-LE-TEMPLE,77,445,3,Dépendance,0,0,15
04/01/2022,Vente,436850,77115,SIVRY-COURTRY,77,453,1,Maison,111,3,140
07/01/2022,Vente,338000,77350,BOISSISE-LA-BERTRAND,77,39,1,Maison,88,4,500
07/01/2022,Vente,338000,77350,BOISSISE-LA-BERTRAND,77,39,1,Maison,88,4,2479
06/01/2022,Vente,307000,77166,GRISY-SUISNES,77,217,1,Maison,90,4,840
04/01/2022,Vente,267700,77130,SAINT-GERMAIN-LAVAL,77,409,3,Dépendance,0,0,808
04/01/2022,Vente,267700,77130,SAINT-GERMAIN-LAVAL,77,409,1,Maison,130,4,808
10/01/2022,Vente,351250,77950,RUBELLES,77,394,3,Dépendance,0,0,661
10/01/2022,Vente,351250,77950,RUBELLES,77,394,1,Maison,101,5,661
