property_value,postal_code,department_code,town_code,property_type_code,building_area,main_rooms,land_area
"504000,00",94500.0,94,17,1.0,75.0,4.0,232.0
"687000,00",94100.0,94,68,1.0,50.0,4.0,200.0
"490000,00",94800.0,94,76,1.0,58.0,3.0,377.0
"500000,00",94240.0,94,38,1.0,90.0,4.0,223.0
"512000,00",94260.0,94,34,3.0,0.0,0.0,344.0
"512000,00",94260.0,94,34,1.0,105.0,5.0,344.0
"973300,00",94100.0,94,68,3.0,0.0,0.0,588.0
"973300,00",94100.0,94,68,1.0,84.0,4.0,588.0
"315000,00",94800.0,94,76,1.0,60.0,4.0,226.0
"458000,00",94500.0,94,17,1.0,67.0,4.0,99.0
"1329750,00",94500.0,94,17,2.0,45.0,3.0,295.0
"1329750,00",94500.0,94,17,2.0,120.0,3.0,295.0
"1329750,00",94500.0,94,17,3.0,0.0,0.0,295.0
"432000,00",94600.0,94,22,1.0,60.0,4.0,300.0
"432000,00",94600.0,94,22,3.0,0.0,0.0,300.0
"320000,00",94190.0,94,78,1.0,55.0,4.0,533.0
"480000,00",94130.0,94,52,3.0,0.0,0.0,263.0
"480000,00",94130.0,94,52,1.0,88.0,3.0,263.0
"1893040,00",94440.0,94,70,1.0,320.0,6.0,1000.0
"1893040,00",94440.0,94,70,1.0,320.0,6.0,524.0
"180000,00",94470.0,94,4,3.0,0.0,0.0,805.0
"180000,00",94470.0,94,4,1.0,68.0,3.0,805.0
"435000,00",94170.0,94,58,1.0,80.0,3.0,343.0
"435000,00",94170.0,94,58,3.0,0.0,0.0,343.0
"570000,00",94500.0,94,17,1.0,112.0,4.0,678.0
"140000,00",94190.0,94,78,3.0,0.0,0.0,12.0
"1700000,00",94130.0,94,52,1.0,150.0,4.0,292.0
"465000,00",94100.0,94,68,1.0,85.0,3.0,244.0
"465000,00",94100.0,94,68,3.0,0.0,0.0,244.0
"110000,00",94190.0,94,78,1.0,80.0,3.0,297.0
"980000,00",94340.0,94,42,1.0,175.0,5.0,165.0
"500000,00",94350.0,94,79,4.0,60.0,0.0,76.0
"1330000,00",94100.0,94,68,3.0,0.0,0.0,243.0
"1330000,00",94100.0,94,68,1.0,160.0,7.0,243.0
"420000,00",94380.0,94,11,1.0,44.0,2.0,595.0
"420000,00",94380.0,94,11,1.0,44.0,2.0,71.0
"505500,00",94000.0,94,28,1.0,60.0,3.0,216.0
"420000,00",94380.0,94,11,1.0,88.0,5.0,172.0
"445000,00",94400.0,94,81,1.0,56.0,4.0,356.0
"710000,00",94000.0,94,28,1.0,114.0,6.0,437.0
"1194500,00",94210.0,94,68,1.0,177.0,5.0,797.0
"2010000,00",94170.0,94,58,1.0,227.0,8.0,500.0
"2010000,00",94170.0,94,58,3.0,0.0,0.0,500.0
"2010000,00",94170.0,94,58,3.0,0.0,0.0,311.0
"2010000,00",94170.0,94,58,1.0,227.0,8.0,311.0
"780000,00",94800.0,94,76,1.0,140.0,4.0,500.0
"524340,00",94110.0,94,3,1.0,91.0,7.0,105.0
"1330000,00",94100.0,94,68,1.0,167.0,5.0,475.0
"390500,00",94310.0,94,54,1.0,73.0,5.0,551.0
"280000,00",94450.0,94,44,1.0,48.0,3.0,371.0
"160000,00",94290.0,94,77,3.0,0.0,0.0,575.0
