valeur_fonciere,code_postal,code_departement,code_commune,code_type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain
"230000,00",78200.0,78,361,1.0,77.0,3.0,296.0
"230000,00",78200.0,78,361,3.0,0.0,0.0,296.0
"813000,00",78711.0,78,362,3.0,0.0,0.0,630.0
"813000,00",78711.0,78,362,3.0,0.0,0.0,231.0
"813000,00",78711.0,78,362,1.0,206.0,8.0,231.0
"813000,00",78711.0,78,362,1.0,206.0,8.0,630.0
"813000,00",78711.0,78,362,3.0,0.0,0.0,3824.0
"813000,00",78711.0,78,362,1.0,206.0,8.0,3824.0
"520000,00",78180.0,78,423,1.0,113.0,6.0,178.0
"329000,00",78790.0,78,530,1.0,90.0,5.0,385.0
"329000,00",78790.0,78,530,3.0,0.0,0.0,385.0
"465000,00",78120.0,78,517,1.0,99.0,6.0,488.0
"283100,00",78310.0,78,383,1.0,95.0,5.0,75.0
"276600,00",78700.0,78,172,3.0,0.0,0.0,473.0
"276600,00",78700.0,78,172,1.0,48.0,4.0,473.0
"790000,00",78520.0,78,335,4.0,700.0,0.0,872.0
"642000,00",78400.0,78,146,1.0,92.0,5.0,296.0
"350000,00",78980.0,78,346,1.0,93.0,4.0,1140.0
"386000,00",78680.0,78,217,1.0,100.0,4.0,960.0
"532400,00",78790.0,78,417,1.0,156.0,5.0,377.0
"532400,00",78790.0,78,417,1.0,156.0,5.0,620.0
"532400,00",78790.0,78,417,3.0,0.0,0.0,620.0
"532400,00",78790.0,78,417,3.0,0.0,0.0,377.0
"499700,00",78114.0,78,356,1.0,159.0,5.0,500.0
"499700,00",78114.0,78,356,1.0,159.0,5.0,330.0
"900000,00",78130.0,78,440,4.0,268.0,0.0,4727.0
"840000,00",78400.0,78,146,1.0,107.0,2.0,440.0
"210500,00",78980.0,78,107,1.0,68.0,4.0,817.0
"215000,00",78520.0,78,290,1.0,63.0,3.0,662.0
"350000,00",78730.0,78,537,1.0,98.0,5.0,422.0
"350000,00",78730.0,78,537,3.0,0.0,0.0,422.0
"350000,00",78730.0,78,537,1.0,98.0,5.0,597.0
"350000,00",78730.0,78,537,3.0,0.0,0.0,597.0
"439000,00",78650.0,78,62,1.0,126.0,6.0,438.0
"249300,00",78200.0,78,118,1.0,79.0,4.0,229.0
"430000,00",78200.0,78,361,1.0,116.0,5.0,732.0
"385000,00",78310.0,78,383,1.0,102.0,5.0,277.0
"385000,00",78310.0,78,383,3.0,0.0,0.0,40.0
"600000,00",78220.0,78,686,1.0,58.0,3.0,294.0
"516500,00",78190.0,78,621,2.0,32.0,1.0,710.0
"516500,00",78190.0,78,621,2.0,36.0,1.0,710.0
"516500,00",78190.0,78,621,2.0,21.0,1.0,710.0
"516500,00",78190.0,78,621,2.0,17.0,1.0,710.0
"516500,00",78190.0,78,621,2.0,41.0,2.0,710.0
"516500,00",78190.0,78,621,4.0,51.0,0.0,710.0
"516500,00",78190.0,78,621,2.0,37.0,2.0,710.0
"697100,00",78117.0,78,620,1.0,146.0,5.0,552.0
"590200,00",78950.0,78,263,3.0,0.0,0.0,500.0
"590200,00",78950.0,78,263,1.0,181.0,5.0,1710.0
"590200,00",78950.0,78,263,3.0,0.0,0.0,1710.0
"590200,00",78950.0,78,263,1.0,181.0,5.0,500.0
"397000,00",78580.0,78,380,1.0,90.0,5.0,470.0
"563250,00",78370.0,78,490,1.0,136.0,5.0,120.0
"157000,00",78200.0,78,361,3.0,0.0,0.0,180.0
"157000,00",78200.0,78,361,1.0,64.0,3.0,180.0
"954832,00",78240.0,78,133,1.0,168.0,6.0,334.0
"954832,00",78240.0,78,133,1.0,168.0,6.0,500.0
"350000,00",78450.0,78,674,1.0,77.0,4.0,193.0
"463000,00",78340.0,78,165,1.0,116.0,5.0,191.0
"422000,00",78180.0,78,423,1.0,89.0,4.0,195.0
"241850,00",78440.0,78,267,1.0,75.0,3.0,94.0
"620000,00",78720.0,78,548,1.0,126.0,6.0,523.0
"620000,00",78720.0,78,548,3.0,0.0,0.0,3500.0
"620000,00",78720.0,78,548,1.0,126.0,6.0,3500.0
"620000,00",78720.0,78,548,3.0,0.0,0.0,1000.0
"620000,00",78720.0,78,548,1.0,126.0,6.0,1000.0
"620000,00",78720.0,78,548,3.0,0.0,0.0,523.0
"335500,00",78126.0,78,33,1.0,81.0,5.0,406.0
"363000,00",78114.0,78,356,1.0,92.0,5.0,246.0
"224000,00",78200.0,78,118,1.0,57.0,3.0,589.0
"224000,00",78200.0,78,118,1.0,57.0,3.0,104.0
"623470,00",78540.0,78,643,1.0,143.0,6.0,730.0
"570000,00",78630.0,78,466,1.0,114.0,5.0,441.0
"255000,00",78680.0,78,217,1.0,57.0,3.0,216.0
"117000,00",78190.0,78,621,1.0,60.0,3.0,159.0
"461500,00",78990.0,78,208,1.0,188.0,7.0,477.0
"479370,00",78210.0,78,545,1.0,75.0,4.0,235.0
"392400,00",78930.0,78,281,1.0,129.0,6.0,834.0
"392400,00",78930.0,78,281,1.0,129.0,6.0,500.0
"435000,00",78700.0,78,172,3.0,0.0,0.0,355.0
"435000,00",78700.0,78,172,1.0,106.0,5.0,355.0
