identifiant_de_document,reference_document,date_mutation,nature_mutation,valeur_fonciere,no_voie,btq,type_de_voie,code_voie,voie,code_postal,commune,code_departement,code_commune,prefixe_de_section,section,no_plan,no_volume,lot1,surface_carrez_lot1,lot2,surface_carrez_lot2,lot3,surface_carrez_lot3,lot4,surface_carrez_lot4,lot5,surface_carrez_lot5,nombre_de_lots,code_type_local,type_local,identifiant_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,nature_culture_speciale,surface_terrain
,,,,670000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,64.0,4.0,,,328.0
,,,,830000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,120.0,5.0,,,291.0
,,,,771000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,216.0,9.0,,,260.0
,,,,650000.0,,,,,,94380.0,,94,11,,,,,,,,,,,,,,,,1.0,,,183.0,5.0,,,598.0
,,,,2015800.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,274.0,4.0,,,300.0
,,,,2015800.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,274.0,4.0,,,500.0
,,,,524000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,91.0,4.0,,,246.0
,,,,260000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,82.0,4.0,,,228.0
,,,,335000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,40.0,2.0,,,68.0
,,,,620000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,1.0,,,60.0,5.0,,,297.0
,,,,315000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,1.0,,,51.0,2.0,,,160.0
,,,,625000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,2.0,,,29.0,2.0,,,252.0
,,,,625000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,2.0,,,40.0,3.0,,,252.0
,,,,460000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,78.0,5.0,,,137.0
,,,,679000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,108.0,5.0,,,179.0
,,,,1280000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,155.0,7.0,,,730.0
,,,,437024.0,,,,,,94340.0,,94,42,,,,,,,,,,,,,,,,1.0,,,58.0,3.0,,,226.0
,,,,1317000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,4.0,,,14.0,0.0,,,885.0
,,,,1317000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,220.0,6.0,,,885.0
,,,,950000.0,,,,,,94340.0,,94,42,,,,,,,,,,,,,,,,1.0,,,106.0,5.0,,,352.0
,,,,380000.0,,,,,,94380.0,,94,11,,,,,,,,,,,,,,,,1.0,,,111.0,4.0,,,224.0
,,,,730000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,80.0,3.0,,,215.0
,,,,646000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,59.0,3.0,,,363.0
,,,,880000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,114.0,4.0,,,414.0
,,,,715000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,2.0,,,15.0,1.0,,,121.0
,,,,715000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,2.0,,,21.0,1.0,,,121.0
,,,,715000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,2.0,,,21.0,2.0,,,121.0
,,,,715000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,2.0,,,13.0,1.0,,,121.0
,,,,715000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,4.0,,,55.0,0.0,,,121.0
,,,,522000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,67.0,5.0,,,105.0
,,,,907000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,118.0,4.0,,,213.0
,,,,550000.0,,,,,,94380.0,,94,11,,,,,,,,,,,,,,,,1.0,,,180.0,5.0,,,148.0
,,,,550000.0,,,,,,94380.0,,94,11,,,,,,,,,,,,,,,,1.0,,,180.0,5.0,,,1078.0
,,,,678000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,76.0,3.0,,,145.0
,,,,499000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,46.0,3.0,,,187.0
,,,,985000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,103.0,4.0,,,404.0
,,,,525000.0,,,,,,94340.0,,94,42,,,,,,,,,,,,,,,,1.0,,,89.0,4.0,,,256.0
,,,,571430.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,74.0,3.0,,,614.0
,,,,1248000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,105.0,6.0,,,200.0
,,,,1248000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,105.0,6.0,,,665.0
,,,,1090000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,150.0,6.0,,,124.0
,,,,1090000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,150.0,6.0,,,590.0
,,,,1260000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,150.0,5.0,,,644.0
,,,,760000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,122.0,6.0,,,403.0
,,,,937000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,4.0,,,60.0,0.0,,,483.0
,,,,937000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,4.0,,,60.0,0.0,,,400.0
,,,,900000.0,,,,,,94340.0,,94,42,,,,,,,,,,,,,,,,1.0,,,69.0,4.0,,,160.0
,,,,400000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,63.0,3.0,,,224.0
,,,,320000.0,,,,,,94380.0,,94,11,,,,,,,,,,,,,,,,4.0,,,100.0,0.0,,,318.0
,,,,3500000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,4.0,,,495.0,0.0,,,2939.0
,,,,3500000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,116.0,5.0,,,2939.0
