property_value,street_number,street_type,street_name,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
340000,129,RUE,ALEXANDRE DUMAS,93230,ROMAINVILLE,93,Maison,59,3,186,2022
328000,12,AV,CLERMONT TONNERRE,93600,AULNAY SOUS BOIS,93,Maison,88,4,256,2022
433380,43,AV,DES EGLANTINES,93290,TREMBLAY-EN-FRANCE,93,Maison,146,7,203,2022
433380,43,AV,DES EGLANTINES,93290,TREMBLAY-EN-FRANCE,93,Maison,146,7,561,2022
319500,8,IMP,BLACK,93800,EPINAY SUR SEINE,93,Maison,98,4,242,2022
350000,61,RUE,GROSPERRIN,93700,DRANCY,93,Maison,52,3,327,2022
350000,61,RUE,GROSPERRIN,93700,DRANCY,93,Dépendance,0,0,327,2022
255000,41,RUE,EMILE PALADILHE,93150,LE BLANC-MESNIL,93,Maison,60,3,339,2022
365300,8,RUE,FRANKLIN,93600,AULNAY SOUS BOIS,93,Maison,87,5,210,2022
340000,68,RUE,HALEVY,93150,LE BLANC-MESNIL,93,Dépendance,0,0,371,2022
340000,68,RUE,HALEVY,93150,LE BLANC-MESNIL,93,Maison,103,4,371,2022
335000,9,RUE,DE ROME,93600,AULNAY SOUS BOIS,93,Maison,120,3,388,2022
763000,119,BD,HENRI BARBUSSE,93100,MONTREUIL,93,Appartement,12,1,524,2022
763000,119,BD,HENRI BARBUSSE,93100,MONTREUIL,93,Dépendance,0,0,524,2022
763000,119,BD,HENRI BARBUSSE,93100,MONTREUIL,93,Appartement,54,2,524,2022
763000,119,BD,HENRI BARBUSSE,93100,MONTREUIL,93,Appartement,70,2,524,2022
276000,8,VLA,DES VIGNES DE GOURNAY,93700,DRANCY,93,Maison,54,3,180,2022
276000,8,VLA,DES VIGNES DE GOURNAY,93700,DRANCY,93,Dépendance,0,0,180,2022
460000,7,AV,GAMBETTA,93600,AULNAY SOUS BOIS,93,Dépendance,0,0,773,2022
460000,7,AV,GAMBETTA,93600,AULNAY SOUS BOIS,93,Maison,99,5,773,2022
395000,44,RUE,FREPILLON,93130,NOISY-LE-SEC,93,Maison,80,3,184,2022
