property_value,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
900000,92700,COLOMBES,92,Maison,90,4,197,2023
709000,92700,COLOMBES,92,Maison,67,4,231,2023
290000,92700,COLOMBES,92,Maison,64,4,103,2023
1215000,92150,SURESNES,92,Maison,139,4,329,2023
875000,92150,SURESNES,92,Maison,83,5,120,2023
1000000,92500,RUEIL-MALMAISON,92,Maison,102,4,162,2023
600000,92000,NANTERRE,92,Dépendance,0,0,179,2023
600000,92000,NANTERRE,92,Appartement,57,3,179,2023
600000,92000,NANTERRE,92,Local industriel. commercial ou assimilé,35,0,179,2023
600000,92000,NANTERRE,92,Appartement,47,2,179,2023
600000,92000,NANTERRE,92,Appartement,25,1,179,2023
1651000,92700,COLOMBES,92,Dépendance,0,0,758,2023
1651000,92700,COLOMBES,92,Maison,232,7,758,2023
1275000,92400,COURBEVOIE,92,Appartement,41,2,253,2023
350000,92230,GENNEVILLIERS,92,Maison,60,3,291,2023
405000,92700,COLOMBES,92,Dépendance,0,0,122,2023
405000,92700,COLOMBES,92,Maison,50,3,122,2023
1186250,92270,BOIS-COLOMBES,92,Local industriel. commercial ou assimilé,7,0,198,2023
1186250,92270,BOIS-COLOMBES,92,Maison,122,4,198,2023
1109690,92700,COLOMBES,92,Maison,143,5,172,2023
594660,92000,NANTERRE,92,Maison,87,5,123,2023
800000,92000,NANTERRE,92,Local industriel. commercial ou assimilé,0,0,172,2023
800000,92000,NANTERRE,92,Local industriel. commercial ou assimilé,20,0,221,2023
788000,92500,RUEIL-MALMAISON,92,Dépendance,0,0,402,2023
788000,92500,RUEIL-MALMAISON,92,Maison,75,4,402,2023
780000,92250,LA GARENNE-COLOMBES,92,Maison,74,3,149,2023
1145731,92500,RUEIL-MALMAISON,92,Maison,86,4,267,2023
570000,92230,GENNEVILLIERS,92,Dépendance,0,0,225,2023
570000,92230,GENNEVILLIERS,92,Maison,79,4,225,2023
956750,92700,COLOMBES,92,Maison,134,4,134,2023
604650,92700,COLOMBES,92,Maison,99,3,106,2023
675000,92500,RUEIL-MALMAISON,92,Maison,76,3,172,2023
665000,92500,RUEIL-MALMAISON,92,Dépendance,0,0,384,2023
665000,92500,RUEIL-MALMAISON,92,Maison,64,5,384,2023
820000,92600,ASNIERES-SUR-SEINE,92,Maison,82,6,91,2023
125000,92230,GENNEVILLIERS,92,Local industriel. commercial ou assimilé,528,0,872,2023
740000,92000,NANTERRE,92,Maison,80,5,374,2023
