Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|08/01/2024|Vente|50000,00||||B033|LA CONDONNA|1230|ARGIS|01|17||A|483||||||||||||0||||||L|FRICH|1697
|||||||000001|03/01/2024|Vente|147000,00|49||RUE|0155|DE GENEVE|1210|FERNEY-VOLTAIRE|01|160||AN|309||124||||||||||1|3|Dépendance||0|0|||
|||||||000001|23/01/2024|Vente|469000,00|26||AV|0530|DU STADE|1200|VALSERHONE|01|33||AB|349||6||||||||||1|3|Dépendance||0|0|||
|||||||000001|25/01/2024|Vente|1400,00||||B212|PRES DE LA VESSE|1190|CHAVANNES-SUR-REYSSOUZE|01|94||C|437||||||||||||0||||||P||2351
|||||||000001|15/01/2024|Vente en l'état futur d'achèvement|434000,00||||B003|LOUYE|1210|FERNEY-VOLTAIRE|01|160||AI|652||36||||||||||1||||||||
|||||||000002|24/01/2024|Vente|1200000,00||||B017|PETITE SAONE|1600|TREVOUX|01|427||AN|110||||||||||||0||||||BP||5134
|||||||000001|10/01/2024|Vente|175000,00|5118|||B071|MOULIN DE LA TOUR|1300|CHAZEY-BONS|01|98||A|50||||||||||||0|2|Appartement||57|2|S||27340
|||||||000001|19/01/2024|Vente|8300,00||||B010|BASSEMENT SUD|1160|NEUVILLE-SUR-AIN|01|273||F|748||||||||||||0||||||BT||800
|||||||000001|30/01/2024|Vente|390000,00|156||RUE|0140|GAMBETTA|1400|CHATILLON-SUR-CHALARONNE|01|93||C|1836||||||||||||0|3|Dépendance||0|0|S||715
|||||||000001|07/02/2024|Vente|635000,00||||B046|MUCELLE|1630|CHALLEX|01|78||D|171||||||||||||0||||||P||112
|||||||000001|08/02/2024|Vente|20764,00||||B008|LES BROTTEAUX|1390|TRAMOYES|01|424||ZK|128||||||||||||0||||||T||51911
|||||||000001|21/02/2024|Vente|383500,00|32||RUE|3770|XAVIER PRIVAS|1000|BOURG-EN-BRESSE|01|53||AC|168||||||||||||0|3|Dépendance||0|0|S||201
|||||||000001|21/02/2024|Vente|2166,00||||B033|CHAMP PEROUX|1370|SAINT-ETIENNE-DU-BOIS|01|350||A|458||||||||||||0||||||T||3257
|||||||000001|29/02/2024|Vente en l'état futur d'achèvement|485000,00||||B025|LONGES RAYES|1170|CESSY|01|71||AP|223||129||||||||||1|2|Appartement||105|5|||
|||||||000001|08/02/2024|Vente|165000,00|5622|||B053|ECAILLER|1250|HAUTECOURT-ROMANECHE|01|184||AO|116||||||||||||0|3|Dépendance||0|0|S||545
|||||||000001|21/02/2024|Vente|47938,00||||B024|EN CHAMPAGNE|1100|ARBENT|01|14||AL|79||||||||||||0||||||L||2362
|||||||000001|16/02/2024|Vente|6000,00||||B152|LES SENONCIERES|1160|PRIAY|01|314||E|763||||||||||||0||||||P||2056
|||||||000005|13/02/2024|Vente|15000,00||||B041|MAS PLOMB|1800|SAINT-ELOI|01|349||B|946||||||||||||0||||||AG||185
|||||||000001|08/03/2024|Vente|3000,00||||B160|LES RIVES|1290|GRIEGES|01|179||ZM|12||||||||||||0||||||T||19044
|||||||000001|19/03/2024|Vente|150000,00||||B111|SUR LE GROBET|1410|CHEZERY-FORENS|01|104||I|596||||||||||||0||||||P||620
|||||||000001|13/03/2024|Vente|162000,00||||B094|LA TIERE|1450|CERDON|01|68||A|1319||||||||||||0||||||BT||741
|||||||000002|27/03/2024|Vente|1,00||||B017|CHAMP PELON|1250|MONTAGNAT|01|254||AS|195||||||||||||0||||||AB||33
|||||||000001|14/03/2024|Vente|||||B360|BALLON|1200|VALSERHONE|01|33|205|E|1485||||||||||||0||||||S||160
|||||||000001|15/03/2024|Vente|18000,00||||B023|LE CART|1250|CEYZERIAT|01|72||AH|525||||||||||||0||||||S||79
|||||||000001|09/04/2024|Vente|35000,00||||B175|SOUS LA VILLE|1230|EVOSGES|01|155||ZC|185||||||||||||0||||||T||1233
|||||||000001|27/03/2024|Vente|752770,80||||B042|EN PENESSUY|1000|BOURG-EN-BRESSE|01|53||CM|67||||||||||||0||||||S||521
|||||||000001|15/04/2024|Vente|120000,00|2||RTE|0086|DE BILLIAT|1200|VALSERHONE|01|33|18|AI|215||1|60,01|5||||||||2|3|Dépendance||0|0|||
|||||||000001|05/04/2024|Vente|210000,00||||B109|LE VILLAGE|1510|VIRIEU-LE-GRAND|01|452||AD|155||||||||||||0||||||S||32
|||||||000001|18/04/2024|Vente|4000,00||||B076|LE PONTHOUD|1200|VALSERHONE|01|33||AM|3||||||||||||0||||||L||395
|||||||000001|22/04/2024|Vente|375000,00|185||RTE|0800|DE LA FRAZE|1990|BANEINS|01|28||ZB|61||||||||||||0|3|Dépendance||0|0|S||600
|||||||000001|25/04/2024|Vente|5400,00||||B042|CHANTEGRILLET|1480|VILLENEUVE|01|446||WC|5||||||||||||0||||||T||38000
|||||||000001|19/04/2024|Vente|89050,00||||B014|LA CHAUDERETTE|1510|ORDONNAZ|01|280||E|139||||||||||||0||||||P||4110
|||||||000001|03/05/2024|Vente|920200,00||||B011|CHARME|1090|GUEREINS|01|183||A|189||||||||||||0||||||J||340
|||||||000001|24/05/2024|Vente en l'état futur d'achèvement|93500,00||||B025|LONGES RAYES|1170|CESSY|01|71||AP|223||16||||||||||1|3|Dépendance||0|0|||
|||||||000001|17/05/2024|Vente|172000,00|12||GR|0055|GRANDE RUE|1340|MONTREVEL-EN-BRESSE|01|266||AC|196||2||||||||||1|3|Dépendance||0|0|||
|||||||000001|06/05/2024|Vente|38900,00||||B244|EN TAZIN|1260|VALROMEY-SUR-SERAN|01|36|221|D|49||||||||||||0||||||T||2990
|||||||000001|31/05/2024|Vente terrain à bâtir|97818,00||||B087|GRAND CHAMP|1640|JUJURIEUX|01|199||B|2441||||||||||||0||||||AB||152
|||||||000001|29/05/2024|Vente|848000,00||||B037|SOUS L ECHINE|1100|OYONNAX|01|283||C|248||||||||||||0||||||P||2660
|||||||000001|28/05/2024|Vente|48000,00||||B063|LES CULATTES|1410|CHAMPFROMIER|01|81||C|730||||||||||||0||||||BT||52050
|||||||000001|11/06/2024|Vente|335000,00|141|C|RUE|0282|DE PIERRAZ FRETTAZ|1710|THOIRY|01|419||BM|174||99||||||||||1|3|Dépendance||0|0|||
|||||||000002|06/06/2024|Vente|75474,00|44||RUE|2268|LEON PERRIN|1000|BOURG-EN-BRESSE|01|53||AW|219||||||||||||0||||||S||107
|||||||000001|11/06/2024|Vente|957900,00||||B024|LES FOSSES|1630|SERGY|01|401||C|2564||||||||||||0||||||S||475
|||||||000001|05/06/2024|Vente|265000,00||||B049|CONTREVOZ|1300|CONTREVOZ|01|116||AB|84||||||||||||0||||||S||467
|||||||000001|19/06/2024|Vente|230000,00|60||IMP|0017|AUX CHENES|1460|BEARD-GEOVREISSIAT|01|170||AI|191||||||||||||0|1|Maison||94|5|S||700
|||||||000001|21/06/2024|Vente|199000,00|1897||RTE|0125|DE FONTARAMIEL|1560|LESCHEROUX|01|212||C|271||||||||||||0|2|Appartement||51|2|S||525
|||||||000001|26/06/2024|Vente|1028435,00|25||LOT|A065|VIGNE AU CHAT|1220|SAUVERNY|01|397||AB|77||||||||||||0|1|Maison||184|6|S||1123
|||||||000001|10/06/2024|Vente|225000,00|591||RUE|0064|DU SAUGEY|1300|VIRIGNIN|01|454||A|890||||||||||||0|3|Dépendance||0|0|S||225
|||||||000001|28/06/2024|Vente|1000,00||||B045|LE GRAND FABRY|1290|LAIZ|01|203||B|18||||||||||||0||||||T||5310
|||||||000001|28/06/2024|Vente|400000,00||||B019|LES CHALLEES|1400|ROMANS|01|328||B|389||||||||||||0||||||P||7224
|||||||000001|01/07/2024|Vente|410000,00|19||RUE|0372|JACQUES PREVERT|1500|AMBERIEU-EN-BUGEY|01|4||AW|1274||||||||||||0|2|Appartement||69|3|S||156
|||||||000001|18/03/2024|Adjudication|127000,00|489||RUE|0066|HIPPOLYTE JOBIN|1100|GROISSIAT|01|181||C|1084||||||||||||0|1|Maison||90|4|S||482
|||||||000001|28/06/2024|Vente|75000,00|12||RUE|0460|DE LATTRE DE TASSIGNY|1100|OYONNAX|01|283||AO|139||110||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/07/2024|Vente|345000,00|101||RUE|0460|DU SIMOND|1090|GUEREINS|01|183||A|381||||||||||||0|4|Local industriel. commercial ou assimilé||35|0|S||1000
|||||||000001|10/07/2024|Vente en l'état futur d'achèvement|544000,00|||RUE|0090|DES SOURCES DE L'OUYE|1210|ORNEX|01|281||AT|11||196||||||||||1||||||||
|||||||000001|10/07/2024|Vente|108,00||||B148|EN PRENY|1190|ARBIGNY|01|16||ZC|172||||||||||||0||||||P||2160
|||||||000001|12/07/2024|Vente|62000,00|86||RUE|0112|GUSTAVE EIFFEL|1100|BELLIGNAT|01|31||AN|9||212||||||||||1|3|Dépendance||0|0|||
|||||||000002|16/07/2024|Vente|6000,00||||B185|AUX MARCHANDS|1750|REPLONGES|01|320||AL|198||||||||||||0||||||T||73
|||||||000001|18/07/2024|Vente|540000,00||||B030|PETIT CORCY|1090|LURCY|01|225||B|394||||||||||||0||||||J||1063
|||||||000001|18/07/2024|Vente|260000,00|42||RUE|0240|DU 1ER SEPTEMBRE 1944|1160|PONT-D AIN|01|304||AN|28||||||||||||0|3|Dépendance||0|0|J||697
|||||||000001|09/07/2024|Vente|307200,00|274||RUE|0049|DU BENY|1330|VILLARS-LES-DOMBES|01|443||BR|97||||||||||||0|3|Dépendance||0|0|S||820
|||||||000001|04/07/2024|Vente|35000,00||||B116|LA GRANDE FIN|1640|BOYEUX-SAINT-JEROME|01|56||B|4336||||||||||||0||||||BT||243
|||||||000001|22/07/2024|Vente|10000,00||||B044|A LA COLETTE|1230|CONAND|01|111||D|428||||||||||||0||||||S||134
|||||||000001|02/08/2024|Vente|405000,00||||B040|EPINAYS D EN BAS|1250|REVONNAS|01|321||ZA|330||||||||||||0||||||AB||304
|||||||000001|31/07/2024|Vente|1605633,80||||B024|LES FOSSES|1630|SERGY|01|401||C|2160||||||||||||0||||||T||115
|||||||000001|30/07/2024|Vente|645000,00|264||CHE|0300|DE LA MOUCHE|1390|TRAMOYES|01|424||A|871||||||||||||0|1|Maison||151|6|S||500
|||||||000001|23/07/2024|Vente|100350,00||||B036|LE CLOSURON|1290|GRIEGES|01|179||B|1055||||||||||||0||||||S||7185
|||||||000001|13/08/2024|Vente|470,00||||B043|CLOSURES GONOD|1570|MANZIAT|01|231||ZA|379||||||||||||0||||||P||1860
|||||||000001|09/09/2024|Vente|48471,00||||B011|LES BLOUSES|1190|ST ETIENNE-SUR-REYSSOUZE|01|352||B|629||||||||||||0||||||BS||572
|||||||000001|13/09/2024|Vente|295000,00|60||IMP|0770|PREBERE|1750|REPLONGES|01|320||AD|305||||||||||||0||||||S||2
|||||||000001|28/08/2024|Vente|46972,00|2||CHE|0094|DU GRAPILLON|1640|BOYEUX-SAINT-JEROME|01|56||B|638||||||||||||0|1|Maison||68|4|S||1211
|||||||000001|12/09/2024|Vente|167200,00|17||IMP|0160|GUICHENON|1400|CHATILLON-SUR-CHALARONNE|01|93||C|1532||11||||||||||1|3|Dépendance||0|0|||
|||||||000001|06/09/2024|Vente|201000,00||||B087|DRUILLAT|1160|DRUILLAT|01|151||B|599||||||||||||0||||||P||646
|||||||000001|18/09/2024|Vente|103000,00|6|B|RUE|1250|DOC ROUX|1000|BOURG-EN-BRESSE|01|53||AE|321||33|30,89|||||||||1|2|Appartement||32|1|||
|||||||000002|11/09/2024|Echange|3000,00||||B061|CROZ MASSON|1110|PREMILLIEU|01|311||A|158||||||||||||0||||||BR||889
|||||||000001|16/09/2024|Vente|119000,00|95||RTE|0075|DE PONT DE VEYLE|1290|CRUZILLES-LES-MEPILLAT|01|136||A|945||||||||||||0|3|Dépendance||0|0|S||989
|||||||000001|10/10/2024|Vente|700,00||||B052|LE HAUT DE L ETANG|1340|BEREZIAT|01|40||WK|33||||||||||||0||||||BS||4677
|||||||000001|08/10/2024|Vente|15300,00||||B068|LE PETIT VIANAY|1340|BEREZIAT|01|40||WY|38||||||||||||0||||||BS||2328
